;class_name;number_of_goals;number_of_tests;length_of_testes;ga_zero_fitness;ga_max_time;ga_shutdown_test_writer;test_suit_mutation_score;time_spent_to_execute_tests;test_suit_coverage;num_coverage_goals;criterion;coverage_of_criterion;search_finished_after;num_generations;num_statements;best_ind_fitness;permissions;warnings;exceptions
0;com.google.javascript.rhino.jstype.StringType;16;10;54;1 / 0;102 / 100          Finished!;0 / 0;100%;89249ms;94%;15;BRANCH;94%;101s;719;133749;0.5;;"InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 //InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiFunction
 //InheritanceTree - Class not in inheritance graph: java.util.function.Function
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiConsumer
 //";
1;com.google.javascript.jscomp.LightweightMessageFormatter;39;9;44;11 / 0;103 / 100          Finished!;0 / 0;84%;38219ms;72%;28;BRANCH;72%;103s;1299;234561;10.5;"  - java.lang.RuntimePermission: 
 //          fileSystemProvider: 1
 // ";"InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiFunction
 //InheritanceTree - Class not in inheritance graph: java.util.function.Function
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiConsumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Supplier
 //InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 //MSecurityManager - SUT asked for a runtime permission that EvoSuite does not recognize: fileSystemProvider
 //";
2;com.google.javascript.jscomp.ComposeWarningsGuard;36;12;142;0 / 0            Finished!;20 / 100;0 / 0;62%;9667ms;100%;35;BRANCH;97%;17s;240;83873;0.0;;"InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 //InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiFunction
 //InheritanceTree - Class not in inheritance graph: java.util.function.Function
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiConsumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Supplier
 //";
3;com.google.javascript.jscomp.TypeCheck;994;62;527;695 / 0;146 / 100          Finished!;0 / 0;17%;106188ms;28%;274;BRANCH;28%;106s;324;78841;684.1205336644484;;"InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 //InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiFunction
 //InheritanceTree - Class not in inheritance graph: java.util.function.Function
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiConsumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Supplier
 //";"[MASTER] 14:40:44.176 [logback-2] ERROR ClientNodeImpl - Cannot inform master of change of state
 // java.rmi.ServerException: RemoteException occurred in server thread; nested exception is: 
 // 	java.rmi.UnmarshalException: error unmarshalling arguments; nested exception is: 
 // 	java.io.OptionalDataException
 // 	at sun.rmi.server.UnicastServerRef.dispatch(UnicastServerRef.java:389) ~[na:1.8.0_201]
 // 	at sun.rmi.transport.Transport$1.run(Transport.java:200) ~[na:1.8.0_201]
 // 	at sun.rmi.transport.Transport$1.run(Transport.java:197) ~[na:1.8.0_201]
 // 	at java.security.AccessController.doPrivileged(Native Method) ~[na:1.8.0_201]
 // 	at sun.rmi.transport.Transport.serviceCall(Transport.java:196) ~[na:1.8.0_201]
 // 	at sun.rmi.transport.tcp.TCPTransport.handleMessages(TCPTransport.java:573) ~[na:1.8.0_201]
 // 	at sun.rmi.transport.tcp.TCPTransport$ConnectionHandler.run0(TCPTransport.java:834) ~[na:1.8.0_201]
 // 	at sun.rmi.transport.tcp.TCPTransport$ConnectionHandler.lambda$run$0(TCPTransport.java:688) ~[na:1.8.0_201]
 // 	at java.security.AccessController.doPrivileged(Native Method) ~[na:1.8.0_201]
 // 	at sun.rmi.transport.tcp.TCPTransport$ConnectionHandler.run(TCPTransport.java:687) ~[na:1.8.0_201]
 // 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149) ~[na:1.8.0_201]
 // 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624) ~[na:1.8.0_201]
 // 	at java.lang.Thread.run(Thread.java:748) ~[na:1.8.0_201]
 // 	at sun.rmi.transport.StreamRemoteCall.exceptionReceivedFromServer(StreamRemoteCall.java:283) ~[na:1.8.0_201]
 // 	at sun.rmi.transport.StreamRemoteCall.executeCall(StreamRemoteCall.java:260) ~[na:1.8.0_201]
 // 	at sun.rmi.server.UnicastRef.invoke(UnicastRef.java:161) ~[na:1.8.0_201]
 // 	at java.rmi.server.RemoteObjectInvocationHandler.invokeRemoteMethod(RemoteObjectInvocationHandler.java:227) ~[na:1.8.0_201]
 // 	at java.rmi.server.RemoteObjectInvocationHandler.invoke(RemoteObjectInvocationHandler.java:179) ~[na:1.8.0_201]
 // 	at com.sun.proxy.$Proxy9.evosuite_collectStatistics(Unknown Source) ~[na:na]
 // 	at org.evosuite.rmi.service.ClientNodeImpl.updateStatistics(ClientNodeImpl.java:219) ~[evosuite-0.2.0.jar:na]
 // 	at org.evosuite.statistics.StatisticsSender.sendIndividualToMaster(StatisticsSender.java:46) [evosuite-0.2.0.jar:na]
 // 	at org.evosuite.statistics.StatisticsListener$1.run(StatisticsListener.java:52) [evosuite-0.2.0.jar:na]
 // Caused by: java.rmi.UnmarshalException: error unmarshalling arguments; nested exception is: 
 // 	java.io.OptionalDataException
 // 	at sun.rmi.server.UnicastServerRef.dispatch(UnicastServerRef.java:348) ~[na:1.8.0_201]
 // 	at sun.rmi.transport.Transport$1.run(Transport.java:200) ~[na:1.8.0_201]
 // 	at sun.rmi.transport.Transport$1.run(Transport.java:197) ~[na:1.8.0_201]
 // 	at java.security.AccessController.doPrivileged(Native Method) ~[na:1.8.0_201]
 // 	at sun.rmi.transport.Transport.serviceCall(Transport.java:196) ~[na:1.8.0_201]
 // 	at sun.rmi.transport.tcp.TCPTransport.handleMessages(TCPTransport.java:573) ~[na:1.8.0_201]
 // 	at sun.rmi.transport.tcp.TCPTransport$ConnectionHandler.run0(TCPTransport.java:834) ~[na:1.8.0_201]
 // 	at sun.rmi.transport.tcp.TCPTransport$ConnectionHandler.lambda$run$0(TCPTransport.java:688) ~[na:1.8.0_201]
 // 	at java.security.AccessController.doPrivileged(Native Method) ~[na:1.8.0_201]
 // 	at sun.rmi.transport.tcp.TCPTransport$ConnectionHandler.run(TCPTransport.java:687) ~[na:1.8.0_201]
 // 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149) ~[na:1.8.0_201]
 // 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624) ~[na:1.8.0_201]
 // 	at java.lang.Thread.run(Thread.java:748) ~[na:1.8.0_201]
 // Caused by: java.io.OptionalDataException: null
 // 	at java.io.ObjectInputStream.readObject0(ObjectInputStream.java:1593) ~[na:1.8.0_201]
 // 	at java.io.ObjectInputStream.readObject(ObjectInputStream.java:431) ~[na:1.8.0_201]
 // 	at java.util.HashMap.readObject(HashMap.java:1410) ~[na:1.8.0_201]
 // 	at sun.reflect.GeneratedMethodAccessor3.invoke(Unknown Source) ~[na:na]
 // 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[na:1.8.0_201]
 // 	at java.lang.reflect.Method.invoke(Method.java:498) ~[na:1.8.0_201]
 // 	at java.io.ObjectStreamClass.invokeReadObject(ObjectStreamClass.java:1170) ~[na:1.8.0_201]
 // 	at java.io.ObjectInputStream.readSerialData(ObjectInputStream.java:2178) ~[na:1.8.0_201]
 // 	at java.io.ObjectInputStream.readOrdinaryObject(ObjectInputStream.java:2069) ~[na:1.8.0_201]
 // 	at java.io.ObjectInputStream.readObject0(ObjectInputStream.java:1573) ~[na:1.8.0_201]
 // 	at java.io.ObjectInputStream.defaultReadFields(ObjectInputStream.java:2287) ~[na:1.8.0_201]
 // 	at java.io.ObjectInputStream.readSerialData(ObjectInputStream.java:2211) ~[na:1.8.0_201]
 // 	at java.io.ObjectInputStream.readOrdinaryObject(ObjectInputStream.java:2069) ~[na:1.8.0_201]
 // 	at java.io.ObjectInputStream.readObject0(ObjectInputStream.java:1573) ~[na:1.8.0_201]
 // 	at java.io.ObjectInputStream.readObject(ObjectInputStream.java:431) ~[na:1.8.0_201]
 // 	at java.util.HashMap.readObject(HashMap.java:1410) ~[na:1.8.0_201]
 // 	at sun.reflect.GeneratedMethodAccessor3.invoke(Unknown Source) ~[na:na]
 // 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[na:1.8.0_201]
 // 	at java.lang.reflect.Method.invoke(Method.java:498) ~[na:1.8.0_201]
 // 	at java.io.ObjectStreamClass.invokeReadObject(ObjectStreamClass.java:1170) ~[na:1.8.0_201]
 // 	at java.io.ObjectInputStream.readSerialData(ObjectInputStream.java:2178) ~[na:1.8.0_201]
 // 	at java.io.ObjectInputStream.readOrdinaryObject(ObjectInputStream.java:2069) ~[na:1.8.0_201]
 // 	at java.io.ObjectInputStream.readObject0(ObjectInputStream.java:1573) ~[na:1.8.0_201]
 // 	at java.io.ObjectInputStream.defaultReadFields(ObjectInputStream.java:2287) ~[na:1.8.0_201]
 // 	at java.io.ObjectInputStream.readSerialData(ObjectInputStream.java:2211) ~[na:1.8.0_201]
 // 	at java.io.ObjectInputStream.readOrdinaryObject(ObjectInputStream.java:2069) ~[na:1.8.0_201]
 // 	at java.io.ObjectInputStream.readObject0(ObjectInputStream.java:1573) ~[na:1.8.0_201]
 // 	at java.io.ObjectInputStream.readObject(ObjectInputStream.java:431) ~[na:1.8.0_201]
 // 	at sun.rmi.server.UnicastRef.unmarshalValue(UnicastRef.java:322) ~[na:1.8.0_201]
 // 	at sun.rmi.server.UnicastServerRef.unmarshalParametersUnchecked(UnicastServerRef.java:628) ~[na:1.8.0_201]
 // 	at sun.rmi.server.UnicastServerRef.unmarshalParameters(UnicastServerRef.java:616) ~[na:1.8.0_201]
 // 	at sun.rmi.server.UnicastServerRef.dispatch(UnicastServerRef.java:338) ~[na:1.8.0_201]
 // 	... 12 common frames omitted
 // "
4;com.google.javascript.jscomp.ConstCheck;63;19;79;26 / 0;106 / 100          Finished!;0 / 0;8%;38536ms;60%;38;BRANCH;60%;105s;1228;113246;25.5;"  - java.lang.RuntimePermission: 
 //          fileSystemProvider: 1
 //          writeFileDescriptor: 4
 // ";"InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiFunction
 //InheritanceTree - Class not in inheritance graph: java.util.function.Function
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiConsumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 //InheritanceTree - Class not in inheritance graph: java.util.function.Supplier
 //MSecurityManager - SUT asked for a runtime permission that EvoSuite does not recognize: fileSystemProvider
 //";
5;com.google.javascript.jscomp.JSModule;45;19;64;4 / 0;107 / 100          Finished!;0 / 0;47%;10911ms;89%;40;BRANCH;89%;106s;144;48905;3.833333333333333;"  - java.lang.RuntimePermission: 
 //          fileSystemProvider: 1
 //          writeFileDescriptor: 1
 // ";"InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 //InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiFunction
 //InheritanceTree - Class not in inheritance graph: java.util.function.Function
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiConsumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Supplier
 //MSecurityManager - SUT asked for a runtime permission that EvoSuite does not recognize: fileSystemProvider
 //";
6;com.google.javascript.rhino.Node;724;215;609;159 / 0;138 / 100          Finished!;0 / 0;10%;68461ms;74%;531;BRANCH;73%;103s;295;149728;150.31555826609178;"  - java.lang.RuntimePermission: 
 //          writeFileDescriptor: 9
 // ";"InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 //InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 //";
7;com.google.javascript.jscomp.ProcessTweaks;117;3;13;110 / 0;101 / 100          Finished!;0 / 0;4%;4201ms;12%;14;BRANCH;12%;101s;73;14929;110.49999999953434;"  - java.lang.RuntimePermission: 
 //          writeFileDescriptor: 1
 //   - java.net.SocketPermission: 
 //          resolve GET_STRING: 1
 // ";"InheritanceTree - Class not in inheritance graph: java.util.function.BiFunction
 //InheritanceTree - Class not in inheritance graph: java.util.function.Function
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiConsumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 //InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 //InheritanceTree - Class not in inheritance graph: java.util.function.Supplier
 //";
8;com.google.javascript.rhino.jstype.NumberType;17;9;38;1 / 0;102 / 100          Finished!;0 / 0;100%;88678ms;94%;16;BRANCH;94%;101s;719;126437;0.5;;"InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 //InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiFunction
 //InheritanceTree - Class not in inheritance graph: java.util.function.Function
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiConsumer
 //";
9;com.google.javascript.jscomp.type.ReverseAbstractInterpreter;;0;0;0 / 0            Finished!;0 / 100;0 / 0;100%;0ms;100%;;BRANCH;100% (no goals);0s;0;0;0.0;;"InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiFunction
 //InheritanceTree - Class not in inheritance graph: java.util.function.Function
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiConsumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 //";
