;class_name;number_of_goals;number_of_tests;length_of_testes;ga_zero_fitness;ga_max_time;ga_shutdown_test_writer;test_suit_mutation_score;time_spent_to_execute_tests;test_suit_coverage;num_coverage_goals;criterion;coverage_of_criterion;search_finished_after;num_generations;num_statements;best_ind_fitness;permissions;warnings;exceptions
0;com.google.javascript.rhino.jstype.StringType;8;5;17;1 / 0;101 / 100          Finished!;0 / 0;100%;60963ms;100%;8;WEAKMUTATION;100%;101s;371;105971;1.0;;"InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 //InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiFunction
 //InheritanceTree - Class not in inheritance graph: java.util.function.Function
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiConsumer
 //";
1;com.google.javascript.jscomp.LightweightMessageFormatter;135;10;45;27 / 0;101 / 100          Finished!;0 / 0;89%;17727ms;95%;128;WEAKMUTATION;95%;101s;468;148257;27.0;"  - java.lang.RuntimePermission: 
 //          fileSystemProvider: 1
 //          writeFileDescriptor: 1
 // ";"InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiFunction
 //InheritanceTree - Class not in inheritance graph: java.util.function.Function
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiConsumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Supplier
 //InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 //MSecurityManager - SUT asked for a runtime permission that EvoSuite does not recognize: fileSystemProvider
 //";
2;com.google.javascript.jscomp.ComposeWarningsGuard;71;9;96;3 / 0;102 / 100          Finished!;0 / 0;82%;12747ms;99%;70;WEAKMUTATION;99%;101s;192;146571;2.0;;"InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 //InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiFunction
 //InheritanceTree - Class not in inheritance graph: java.util.function.Function
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiConsumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Supplier
 //";
3;com.google.javascript.jscomp.TypeCheck;1398;6;65;3,019 / 0;159 / 100          Finished!;0 / 0;4%;123818ms;3%;45;WEAKMUTATION;3%;111s;142;32136;3016.481204885271;"  - java.lang.RuntimePermission: 
 //          fileSystemProvider: 1
 // ";"InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 //InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiFunction
 //InheritanceTree - Class not in inheritance graph: java.util.function.Function
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiConsumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Supplier
 //MSecurityManager - SUT asked for a runtime permission that EvoSuite does not recognize: fileSystemProvider
 //TimeController - Phase SEARCH lasted too long, 11 seconds more than allowed.
 //";
4;com.google.javascript.jscomp.ConstCheck;38;4;22;79 / 0;102 / 100          Finished!;0 / 0;11%;32667ms;24%;9;WEAKMUTATION;24%;101s;297;54313;77.0;"  - java.lang.RuntimePermission: 
 //          fileSystemProvider: 1
 //          writeFileDescriptor: 2
 // ";"InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiFunction
 //InheritanceTree - Class not in inheritance graph: java.util.function.Function
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiConsumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 //InheritanceTree - Class not in inheritance graph: java.util.function.Supplier
 //MSecurityManager - SUT asked for a runtime permission that EvoSuite does not recognize: fileSystemProvider
 //";
5;com.google.javascript.jscomp.JSModule;62;15;58;23 / 0;102 / 100          Finished!;0 / 0;55%;10561ms;73%;45;WEAKMUTATION;73%;101s;121;62617;21.1231884057971;;"InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 //InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiFunction
 //InheritanceTree - Class not in inheritance graph: java.util.function.Function
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiConsumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Supplier
 //";
6;com.google.javascript.jscomp.ProcessTweaks;7665;407;6678;3,366 / 0;377 / 100          Finished!;0 / 0;1%;350642ms;76%;5811;WEAKMUTATION;76%;168s;1;7281;3469.226118240452;"  - java.lang.RuntimePermission: 
 //          writeFileDescriptor: 10
 // ";"InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 //InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 //TimeController - Phase SEARCH lasted too long, 67 seconds more than allowed.
 //TestSuiteMinimizer - Minimization timeout. Roll back to original test suite
 //TimeController - Phase MINIMIZATION lasted too long, 84 seconds more than allowed.
 //";"[MASTER] 19:10:02.896 [main] ERROR ExternalProcessHandler - Class com.google.javascript.rhino.Node. Clients have not finished yet, although timeout.
 // ClientNode: WRITING_TESTS
 // 
 // [MASTER] 19:10:09.729 [logback-2] ERROR ExecutionTracer - Thread: Thread[logback-3,5,main]
 //  -> sun.misc.Unsafe.park(Native Method)
 //  -> java.util.concurrent.locks.LockSupport.park(LockSupport.java:175)
 //  -> java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.await(AbstractQueuedSynchronizer.java:2039)
 //  -> java.util.concurrent.LinkedBlockingDeque.takeFirst(LinkedBlockingDeque.java:492)
 //  -> ch.qos.logback.core.net.AbstractSocketAppender.dispatchEvents(AbstractSocketAppender.java:229)
 //  -> ch.qos.logback.core.net.AbstractSocketAppender.connectSocketAndDispatchEvents(AbstractSocketAppender.java:194)
 //  -> ch.qos.logback.core.net.AbstractSocketAppender.access$000(AbstractSocketAppender.java:44)
 //  -> ch.qos.logback.core.net.AbstractSocketAppender$1.run(AbstractSocketAppender.java:153)
 //  -> java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:511)
 //  -> java.util.concurrent.FutureTask.run(FutureTask.java:266)
 //  -> java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149)
 //  -> java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
 //  -> java.lang.Thread.run(Thread.java:748)
 // 
 // [MASTER] 19:10:09.729 [logback-2] ERROR ExecutionTracer - Thread: Thread[RMI RenewClean-[127.0.0.1:4092],5,system]
 //  -> java.lang.Object.wait(Native Method)
 //  -> java.lang.ref.ReferenceQueue.remove(ReferenceQueue.java:144)
 //  -> sun.rmi.transport.DGCClient$EndpointEntry$RenewCleanThread.run(DGCClient.java:563)
 //  -> java.lang.Thread.run(Thread.java:748)
 // 
 // [MASTER] 19:10:09.729 [logback-2] ERROR ExecutionTracer - Thread: Thread[Finalizer,8,system]
 //  -> java.lang.Object.wait(Native Method)
 //  -> java.lang.ref.ReferenceQueue.remove(ReferenceQueue.java:144)
 //  -> java.lang.ref.ReferenceQueue.remove(ReferenceQueue.java:165)
 //  -> java.lang.ref.Finalizer$FinalizerThread.run(Finalizer.java:216)
 // 
 // [MASTER] 19:10:09.729 [logback-2] ERROR ExecutionTracer - Thread: Thread[main,5,main]
 //  -> sun.misc.Unsafe.park(Native Method)
 //  -> java.util.concurrent.locks.LockSupport.park(LockSupport.java:175)
 //  -> java.util.concurrent.locks.AbstractQueuedSynchronizer.parkAndCheckInterrupt(AbstractQueuedSynchronizer.java:836)
 //  -> java.util.concurrent.locks.AbstractQueuedSynchronizer.doAcquireSharedInterruptibly(AbstractQueuedSynchronizer.java:997)
 //  -> java.util.concurrent.locks.AbstractQueuedSynchronizer.acquireSharedInterruptibly(AbstractQueuedSynchronizer.java:1304)
 //  -> java.util.concurrent.CountDownLatch.await(CountDownLatch.java:231)
 //  -> org.evosuite.rmi.service.ClientNodeImpl.waitUntilDone(ClientNodeImpl.java:179)
 // "
7;;239;3;16;417 / 0;103 / 100          Finished!;0 / 0;14%;7864ms;15%;35;WEAKMUTATION;15%;102s;61;26294;413.9999999962747;;"InheritanceTree - Class not in inheritance graph: java.util.function.BiFunction
 //InheritanceTree - Class not in inheritance graph: java.util.function.Function
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiConsumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 //InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 //InheritanceTree - Class not in inheritance graph: java.util.function.Supplier
 //";" -> org.evosuite.ClientProcess.run(ClientProcess.java:91)
 //  -> org.evosuite.ClientProcess.main(ClientProcess.java:154)
 // 
 // [MASTER] 19:10:09.729 [logback-2] ERROR ExecutionTracer - Thread: Thread[RMI Scheduler(0),5,system]
 //  -> sun.misc.Unsafe.park(Native Method)
 //  -> java.util.concurrent.locks.LockSupport.parkNanos(LockSupport.java:215)
 //  -> java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.awaitNanos(AbstractQueuedSynchronizer.java:2078)
 //  -> java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.take(ScheduledThreadPoolExecutor.java:1093)
 //  -> java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.take(ScheduledThreadPoolExecutor.java:809)
 //  -> java.util.concurrent.ThreadPoolExecutor.getTask(ThreadPoolExecutor.java:1074)
 //  -> java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1134)
 //  -> java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
 //  -> java.lang.Thread.run(Thread.java:748)
 // 
 // [MASTER] 19:10:09.730 [logback-2] ERROR ExecutionTracer - Thread: Thread[RMI TCP Accept-6733,5,system]
 //  -> java.net.PlainSocketImpl.socketAccept(Native Method)
 //  -> java.net.AbstractPlainSocketImpl.accept(AbstractPlainSocketImpl.java:409)
 //  -> java.net.ServerSocket.implAccept(ServerSocket.java:545)
 //  -> java.net.ServerSocket.accept(ServerSocket.java:513)
 //  -> sun.rmi.transport.tcp.TCPTransport$AcceptLoop.executeAcceptLoop(TCPTransport.java:405)
 //  -> sun.rmi.transport.tcp.TCPTransport$AcceptLoop.run(TCPTransport.java:377)
 //  -> java.lang.Thread.run(Thread.java:748)
 // 
 // [MASTER] 19:10:09.730 [logback-2] ERROR ExecutionTracer - Thread: Thread[GC Daemon,2,system]
 //  -> java.lang.Object.wait(Native Method)
 //  -> sun.misc.GC$Daemon.run(GC.java:117)
 // 
 // [MASTER] 19:10:09.730 [logback-2] ERROR ExecutionTracer - Thread: Thread[logback-1,5,main]
 //  -> sun.misc.Unsafe.park(Native Method)
 //  -> java.util.concurrent.locks.LockSupport.park(LockSupport.java:175)
 //  -> java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.await(AbstractQueuedSynchronizer.java:2039)
 //  -> java.util.concurrent.LinkedBlockingDeque.takeFirst(LinkedBlockingDeque.java:492)
 //  -> ch.qos.logback.core.net.AbstractSocketAppender.dispatchEvents(AbstractSocketAppender.java:229)
 //  -> ch.qos.logback.core.net.AbstractSocketAppender.connectSocketAndDispatchEvents(AbstractSocketAppender.java:194)
 //  -> ch.qos.logback.core.net.AbstractSocketAppender.access$000(AbstractSocketAppender.java:44)
 //  -> ch.qos.logback.core.net.AbstractSocketAppender$1.run(AbstractSocketAppender.java:153)
 //  -> java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:511)
 //  -> java.util.concurrent.FutureTask.run(FutureTask.java:266)
 //  -> java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149)
 //  -> java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
 //  -> java.lang.Thread.run(Thread.java:748)
 // 
 // [MASTER] 19:10:09.730 [logback-2] ERROR ExecutionTracer - Thread: Thread[RMI TCP Connection(1)-127.0.0.1,5,RMI Runtime]
 //  -> sun.misc.Unsafe.park(Native Method)
 //  -> java.util.concurrent.locks.LockSupport.parkNanos(LockSupport.java:215)
 //  -> java.util.concurrent.locks.AbstractQueuedSynchronizer.doAcquireSharedNanos(AbstractQueuedSynchronizer.java:1037)
 //  -> java.util.concurrent.locks.AbstractQueuedSynchronizer.tryAcquireSharedNanos(AbstractQueuedSynchronizer.java:1328)
 //  -> java.util.concurrent.CountDownLatch.await(CountDownLatch.java:277)
 //  -> org.evosuite.rmi.service.ClientNodeImpl.waitUntilFinished(ClientNodeImpl.java:173)
 //  -> sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
 //  -> sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
 //  -> sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
 //  -> java.lang.reflect.Method.invoke(Method.java:498)
 //  -> sun.rmi.server.UnicastServerRef.dispatch(UnicastServerRef.java:357)
 //  -> sun.rmi.transport.Transport$1.run(Transport.java:200)
 //  -> sun.rmi.transport.Transport$1.run(Transport.java:197)
 //  -> java.security.AccessController.doPrivileged(Native Method)
 //  -> sun.rmi.transport.Transport.serviceCall(Transport.java:196)
 //  -> sun.rmi.transport.tcp.TCPTransport.handleMessages(TCPTransport.java:573)
 //  -> sun.rmi.transport.tcp.TCPTransport$ConnectionHandler.run0(TCPTransport.java:834)
 //  -> sun.rmi.transport.tcp.TCPTransport$ConnectionHandler.lambda$run$0(TCPTransport.java:688)
 //  -> sun.rmi.transport.tcp.TCPTransport$ConnectionHandler$$Lambda$3/1971119024.run(Unknown Source)
 //  -> java.security.AccessController.doPrivileged(Native Method)
 //  -> sun.rmi.transport.tcp.TCPTransport$ConnectionHandler.run(TCPTransport.java:687)
 //  -> java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149)
 //  -> java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
 //  -> java.lang.Thread.run(Thread.java:748)
 // 
 // [MASTER] 19:10:09.730 [logback-2] ERROR ExecutionTracer - Thread: Thread[RMI Reaper,5,system]
 //  -> java.lang.Object.wait(Native Method)
 //  -> java.lang.ref.ReferenceQueue.remove(ReferenceQueue.java:144)
 //  -> java.lang.ref.ReferenceQueue.remove(ReferenceQueue.java:165)
 //  -> sun.rmi.transport.ObjectTable$Reaper.run(ObjectTable.java:351)
 //  -> java.lang.Thread.run(Thread.java:748)
 // 
 // [MASTER] 19:10:09.730 [logback-2] ERROR ExecutionTracer - Thread: Thread[logback-2,5,main]
 //  -> sun.misc.Unsafe.park(Native Method)
 //  -> java.util.concurrent.locks.LockSupport.park(LockSupport.java:175)
 //  -> java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.await(AbstractQueuedSynchronizer.java:2039)
 //  -> java.util.concurrent.LinkedBlockingDeque.takeFirst(LinkedBlockingDeque.java:492)
 //  -> ch.qos.logback.core.net.AbstractSocketAppender.dispatchEvents(AbstractSocketAppender.java:229)
 //  -> ch.qos.logback.core.net.AbstractSocketAppender.connectSocketAndDispatchEvents(AbstractSocketAppender.java:194)
 //  -> ch.qos.logback.core.net.AbstractSocketAppender.access$000(AbstractSocketAppender.java:44)
 //  -> ch.qos.logback.core.net.AbstractSocketAppender$1.run(AbstractSocketAppender.java:153)
 //  -> java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:511)
 //  -> java.util.concurrent.FutureTask.run(FutureTask.java:266)
 //  -> java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149)
 //  -> java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
 //  -> java.lang.Thread.run(Thread.java:748)
 // 
 // [MASTER] 19:10:09.730 [logback-2] ERROR ExecutionTracer - Thread: Thread[pool-3-thread-1,5,main]
 //  -> java.lang.Thread.dumpThreads(Native Method)
 //  -> java.lang.Thread.getAllStackTraces(Thread.java:1610)
 //  -> org.evosuite.testcase.execution.ExecutionTracer.isThreadNeqCurrentThread(ExecutionTracer.java:213)
 //  -> org.evosuite.testcase.execution.ExecutionTracer.returnValue(ExecutionTracer.java:310)
 //  -> com.google.javascript.jscomp.ProcessTweaks$TweakFunction.getName(ProcessTweaks.java:165)
 //  -> com.google.javascript.jscomp.ProcessTweaks.<clinit>(ProcessTweaks.java)
 //  -> java.lang.Class.forName0(Native Method)
 //  -> java.lang.Class.forName(Class.java:348)
 //  -> org.evosuite.Properties.getTargetClass(Properties.java:2147)
 //  -> org.evosuite.Properties.getTargetClass(Properties.java:2116)
 //  -> org.evosuite.setup.TestClusterGenerator.initializeTargetMethods(TestClusterGenerator.java:407)
 //  -> org.evosuite.setup.TestClusterGenerator.generateCluster(TestClusterGenerator.java:173)
 //  -> org.evosuite.setup.DependencyAnalysis.analyze(DependencyAnalysis.java:116)
 //  -> org.evosuite.TestSuiteGenerator.generateTestSuite(TestSuiteGenerator.java:221)
 //  -> org.evosuite.rmi.service.ClientNodeImpl$1.run(ClientNodeImpl.java:125)
 //  -> java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:511)
 //  -> java.util.concurrent.FutureTask.run(FutureTask.java:266)
 //  -> java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149)
 //  -> java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
 //  -> java.lang.Thread.run(Thread.java:748)
 // 
 // [MASTER] 19:10:09.730 [logback-2] ERROR ExecutionTracer - Thread: Thread[Reference Handler,10,system]
 //  -> java.lang.Object.wait(Native Method)
 //  -> java.lang.Object.wait(Object.java:502)
 //  -> java.lang.ref.Reference.tryHandlePending(Reference.java:191)
 //  -> java.lang.ref.Reference$ReferenceHandler.run(Reference.java:153)
 // 
 // [MASTER] 19:10:09.730 [logback-2] ERROR ExecutionTracer - Thread: Thread[Statistics sender in client process,5,main]
 //  -> sun.misc.Unsafe.park(Native Method)
 //  -> java.util.concurrent.locks.LockSupport.park(LockSupport.java:175)
 //  -> java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.await(AbstractQueuedSynchronizer.java:2039)
 //  -> java.util.concurrent.LinkedBlockingQueue.take(LinkedBlockingQueue.java:442)
 //  -> org.evosuite.rmi.service.ClientNodeImpl$2.run(ClientNodeImpl.java:317)
 // 
 // [MASTER] 19:10:09.730 [logback-2] ERROR ExecutionTracer - Thread: Thread[Signal Dispatcher,9,system]
 // 
 // [MASTER] 19:10:10.592 [logback-1] WARN  InheritanceTree - Class not in inheritance graph: java.util.function.BiFunction
 // [MASTER] 19:10:10.593 [logback-1] WARN  InheritanceTree - Class not in inheritance graph: java.util.function.Function
 // [MASTER] 19:10:10.594 [logback-1] WARN  InheritanceTree - Class not in inheritance graph: java.util.function.BiConsumer
 // [MASTER] 19:10:10.646 [logback-1] WARN  InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 // [MASTER] 19:10:10.647 [logback-1] WARN  InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 // [MASTER] 19:10:11.637 [logback-1] WARN  InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 // [MASTER] 19:10:11.669 [logback-1] WARN  InheritanceTree - Class not in inheritance graph: java.util.function.Supplier
 // "
8;com.google.javascript.rhino.jstype.NumberType;9;6;21;1 / 0;101 / 100          Finished!;0 / 0;100%;65430ms;100%;9;WEAKMUTATION;100%;101s;436;100848;1.0;;"InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 //InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiFunction
 //InheritanceTree - Class not in inheritance graph: java.util.function.Function
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiConsumer
 //";
9;com.google.javascript.jscomp.type.ReverseAbstractInterpreter;;0;0;0 / 0            Finished!;0 / 100;0 / 0;100%;0ms;100%;;WEAKMUTATION;100% (no goals);0s;0;0;0.0;;"InheritanceTree - Class not in inheritance graph: java.util.function.Consumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.Predicate
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiFunction
 //InheritanceTree - Class not in inheritance graph: java.util.function.Function
 //InheritanceTree - Class not in inheritance graph: java.util.function.BiConsumer
 //InheritanceTree - Class not in inheritance graph: java.util.function.UnaryOperator
 //";
