configuration_id,TARGET_CLASS,criterion,Size,Length,MutationScore
Branch,tutorial.ATM,BRANCH,9,71,0.3888888888888889
Branch,tutorial.ATMCard,BRANCH,8,40,0.6666666666666666
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.CurrentAccount,BRANCH,3,9,0.6739130434782609
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.8235294117647058
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.ATM,BRANCH,10,78,0.3611111111111111
Branch,tutorial.ATMCard,BRANCH,8,34,0.6666666666666666
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.CurrentAccount,BRANCH,3,9,0.6304347826086957
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.6176470588235294
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.ATM,BRANCH,9,69,0.4166666666666667
Branch,tutorial.ATMCard,BRANCH,8,41,0.6666666666666666
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.BankAccount,BRANCH,2,5,0.8
Branch,tutorial.CurrentAccount,BRANCH,3,9,0.5869565217391305
Branch,tutorial.SavingsAccount,BRANCH,2,7,0.8529411764705882
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.Person,BRANCH,2,4,1.0
Branch,tutorial.ATM,BRANCH,10,75,0.4166666666666667
Branch,tutorial.ATMCard,BRANCH,8,25,0.6666666666666666
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.CurrentAccount,BRANCH,2,7,0.6956521739130435
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.8529411764705882
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.Person,BRANCH,2,4,1.0
Branch,tutorial.ATM,BRANCH,9,66,0.5
Branch,tutorial.ATMCard,BRANCH,8,48,0.6666666666666666
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.CurrentAccount,BRANCH,2,7,0.7391304347826086
Branch,tutorial.SavingsAccount,BRANCH,3,6,0.7058823529411765
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.Person,BRANCH,2,4,1.0
Default,tutorial.ATM,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,13,96,0.6388888888888888
Default,tutorial.ATMCard,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,14,78,0.6666666666666666
Default,tutorial.Bank,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,4,15,0.8
Default,tutorial.Owner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1,1,1.0
Default,tutorial.BankAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,8,25,1.0
Default,tutorial.CurrentAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,14,0.8913043478260869
Default,tutorial.SavingsAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,4,14,0.9411764705882353
Default,tutorial.Company,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,6,1.0
Default,tutorial.Person,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,6,12,1.0
Default,tutorial.ATM,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,14,106,0.5833333333333334
Default,tutorial.ATMCard,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,14,62,0.6666666666666666
Default,tutorial.Bank,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,4,13,0.8
Default,tutorial.Owner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1,1,1.0
Default,tutorial.BankAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,7,21,1.0
Default,tutorial.CurrentAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,4,15,0.8913043478260869
Default,tutorial.SavingsAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,11,0.9411764705882353
Default,tutorial.Company,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,6,1.0
Default,tutorial.Person,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,6,12,0.0
Default,tutorial.ATM,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,15,116,0.4166666666666667
Default,tutorial.ATMCard,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,14,68,0.6666666666666666
Default,tutorial.Bank,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,4,15,0.8
Default,tutorial.Owner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1,1,1.0
Default,tutorial.BankAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,8,25,1.0
Default,tutorial.CurrentAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,5,15,0.8260869565217391
Default,tutorial.SavingsAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,4,12,0.8823529411764706
Default,tutorial.Company,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,6,1.0
Default,tutorial.Person,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,6,12,1.0
